SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB9416	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Cardiobacteriales-f__Cardiobacteriaceae-g__Cardiobacterium-s__Cardiobacterium_valvarum-t__SGB9416	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium_valvarum	SGB9416
SGB9418	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Cardiobacteriales-f__Cardiobacteriaceae-g__Cardiobacterium-s__Cardiobacterium_hominis-t__SGB9418	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium_hominis	SGB9418
SGB9422	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Kingella-s__Kingella_oralis-t__SGB9422	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella_oralis	SGB9422
SGB9425	uSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__GGB6675-s__GGB6675_SGB9425-t__SGB9425	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	GGB6675	GGB6675_SGB9425	SGB9425
SGB9434	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Eikenella-s__Eikenella_corrodens-t__SGB9434	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella_corrodens	SGB9434
SGB9437	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Kingella-s__Kingella_denitrificans-t__SGB9437	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella_denitrificans	SGB9437
SGB9447	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Neisseria-s__Neisseria_elongata-t__SGB9447	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria_elongata	SGB9447
SGB9460	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Neisseria-s__Neisseria_cinerea-t__SGB9460	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria_cinerea	SGB9460
SGB9463	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Neisseria-s__Neisseria_sp_oral_taxon_014-t__SGB9463	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria_sp_oral_taxon_014	SGB9463
SGB9465	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Neisseria-s__Neisseria_sicca-t__SGB9465	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria_sicca	SGB9465
SGB9467	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Neisseria-s__Neisseria_sicca-t__SGB9467	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria_sicca	SGB9467
SGB9474	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Neisseriales-f__Neisseriaceae-g__Simonsiella-s__Simonsiella_muelleri-t__SGB9474	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella	Simonsiella_muelleri	SGB9474
SGB9631	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__Haemophilus-s__Haemophilus_sputorum-t__SGB9631	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_sputorum	SGB9631
SGB9632	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__Haemophilus-s__Haemophilus_parahaemolyticus-t__SGB9632	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parahaemolyticus	SGB9632
SGB9634	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__Haemophilus-s__Haemophilus_paraphrohaemolyticus-t__SGB9634	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_paraphrohaemolyticus	SGB9634
